Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"","2025-05-20","pos purchase","Apos Tst-Good Co. Gr     Vanco ","Debit","-5.20","5039.86"
"","2025-05-20","pos purchase","Apos Romano'S Pizza      Vanco ","Debit","-5.00","5045.06"
"","2025-05-20","pos purchase","Apos Nayax Canada In ","Debit","-2.50","5050.06"
"","2025-05-20","pos purchase","Apos Walmart Store #     Burna ","Debit","-30.32","5052.56"
"","2025-05-20","pos purchase","Apos Yogen Fruz Metr     Burna ","Debit","-8.03","5082.88"
"","2025-05-20","pos purchase","Apos Popeyes #14874      Vanco ","Debit","-14.36","5090.91"
"","2025-05-20","pos purchase","Apos H-Mart Downtown     Vanco ","Debit","-4.18","5105.27"
"","2025-05-20","pos purchase","Apos Ls Kinton Ramen     Vanco ","Debit","-13.27","5109.45"
"","2025-05-17","pos purchase","Apos Cactus Club Ben     Vanco ","Debit","-23.40","5122.72"
"","2025-05-17","deposit","Free Interac E-Transfer ","Credit","8.00","5146.12"
"","2025-05-17","pos purchase","Apos Sp Herschel Sup     Vanco ","Debit","-99.96","5138.12"
"","2025-05-17","pos purchase","Apos Tommy Hilfiger      Richm ","Debit","-33.31","5238.08"
"","2025-05-17","pos purchase","Apos La Pache Pizza      Vanco ","Debit","-6.50","5271.39"
"","2025-05-17","pos purchase","Apos The Charlatan       Vanco ","Debit","-47.89","5277.89"
"","2025-05-16","pos purchase","Apos The North Face      Richm ","Debit","-67.20","5325.78"
"","2025-05-16","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-5.86","5392.98"
"","2025-05-15","pos purchase","Apos Jollibee            Vanco ","Debit","-14.47","5398.84"
"","2025-05-15","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-1.84","5413.31"
"","2025-05-15","pos purchase","Apos Walmart Store #     Burna ","Debit","-5.25","5415.15"
"","2025-05-15","pos purchase","Opos Amzn Mktp Ca        Www.A ","Debit","-33.59","5420.40"
"","2025-05-14","pos purchase","Apos Tim Hortons #28     Vanco ","Debit","-4.60","5453.99"
"","2025-05-14","pos purchase","Apos Freshslice Pizz     Burna ","Debit","-8.29","5458.59"
"","2025-05-14","pos purchase","Apos Uniqlo Canada P     Burna ","Debit","-67.37","5466.88"
"","2025-05-14","pos purchase","Browns Shoes Inc #44     Burna ","Debit","-260.96","5534.25"
"","2025-05-13","pos purchase","Apos Global Harbor C     Burna ","Debit","-3.82","5795.21"
"","2025-05-13","pos purchase","Apos Tim Hortons #76     Vanco ","Debit","-9.22","5799.03"
"","2025-05-13","pos purchase","Apos Starbucks Coffe     Vanco ","Debit","-6.51","5808.25"
"","2025-05-13","pos purchase","Apos Taco Bell 6802      Vanco ","Debit","-8.07","5814.76"
"","2025-05-13","pos purchase","Apos Walmart Store #     Burna ","Debit","-52.48","5822.83"
"","2025-05-12","pos purchase","Apos A W #0770 Granv     Vanco ","Debit","-4.45","5875.31"
"","2025-05-12","pos purchase","Apos Freshslice Pizz     Vanco ","Debit","-8.29","5879.76"
"","2025-05-12","pos purchase","Apos Best Buy #705       Vanco ","Debit","-11.19","5888.05"
"","2025-05-12","deposit","Free Interac E-Transfer ","Credit","5899.00","5899.24"
"","2025-05-12","pos purchase","Apos Dollarama # 512     Vanco ","Debit","-8.56","0.24"
"","2025-05-12","withdrawal","Free Interac E-Transfer ","Debit","-10.00","8.80"
"","2025-05-12","withdrawal","Free Interac E-Transfer ","Debit","-900.00","18.80"
"","2025-05-12","pos purchase","Apos London Drugs 02     Vanco ","Debit","-16.79","918.80"
"","2025-05-12","pos purchase","Apos Shoprite Smoke      Vanco ","Debit","-0.99","935.59"
"","2025-05-10","pos purchase","Apos Save On Foods 2     Vanco ","Debit","-27.67","936.58"
"","2025-05-10","pos purchase","Apos Popeyes #14874      Vanco ","Debit","-13.31","964.25"
"","2025-05-09","pos purchase","Apos Tst-Jerusalem S     Vanco ","Debit","-17.20","977.56"
"","2025-05-08","pos purchase","Fpos A&W #0854           Vanco ","Debit","-5.24","994.76"
"","2025-05-08","deposit"," ","Credit","1000.00","1000.00"
"","2025-05-08","deposit"," ","Credit","0.00","0.00"
